Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_DD2N8CEX	Signature.1	0.1996099240981051	HGAT	WXS	17.366063396535143	149089890	0.11648048970010738
BS_XNYH7VK6	Signature.1	0.47840412672274424	HGAT	WXS	54.0596663196701	149089890	0.3625978013644661
BS_X0KN4VVW	Signature.1	0.18136044012267377	HGAT	WXS	0.9068022006133689	149089890	0.00608225145657676
BS_JWDK21ED	Signature.1	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.1	0.20073117495574794	HGAT	WXS	21.47823572026503	149089890	0.1440623218667948
BS_2DNGDW0A	Signature.1	0.9183912785589226	HGAT	WXS	104.69660575571717	149089890	0.702238131342891
BS_4SCDT7M9	Signature.1	0.3498071788126684	HGAT	WXS	16.091130225382745	149089890	0.1079290502218678
BS_7PAAZQE6	Signature.1	0.8793410348279829	HGAT	WXS	71.22662382106661	149089890	0.47774281556627757
BS_QF7M4SHH	Signature.1	0.39541064603842674	HGAT	WGS	12.653140673229656	3088286401	0.00409713965295852
BS_91HP99HY	Signature.1	0.27343493144111786	HGAT	WXS	12.85144177773254	149089890	0.08619928405428792
BS_JC7E55BV	Signature.1	0.5176343103629066	HGAT	WGS	43.998916380847064	3088286401	0.014247032388770689
BS_KHJMCFQR	Signature.1	0.47181971315050775	HGAT	WXS	19.344608239170817	149089890	0.1297513080140499
BS_DD2N8CEX	Signature.2	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.2	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.2	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.2	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.2	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.2	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.2	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.2	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.2	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.2	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.2	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.3	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.3	0.08860577553907575	HGAT	WXS	10.01245263591556	149089890	0.06715715355290396
BS_X0KN4VVW	Signature.3	0.2578681038131946	HGAT	WXS	1.289340519065973	149089890	0.00864807478941713
BS_JWDK21ED	Signature.3	0.2915696422529812	HGAT	WXS	34.1136481435988	149089890	0.22881261863965963
BS_BT83BCEE	Signature.3	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.3	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.3	0.2809819779997245	HGAT	WXS	12.925170987987327	149089890	0.08669381262530496
BS_7PAAZQE6	Signature.3	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.3	0.27484831954167516	HGAT	WGS	8.795146225333605	3088286401	0.0028479049813792206
BS_91HP99HY	Signature.3	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.3	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.3	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.4	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.4	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.4	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.4	0.09666010954536067	HGAT	WXS	11.309232816807198	149089890	0.07585512885419124
BS_BT83BCEE	Signature.4	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.4	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.4	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.4	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.4	0.10438017341226603	HGAT	WXS	4.905868150376503	149089890	0.03290543812445299
BS_JC7E55BV	Signature.4	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.4	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.5	0.23063443332306707	HGAT	WXS	20.065195699106834	149089890	0.13458454962376615
BS_XNYH7VK6	Signature.5	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.5	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.5	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.5	0.32079500031968	HGAT	WXS	34.32506503420576	149089890	0.23023066845247359
BS_2DNGDW0A	Signature.5	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.5	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.5	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.5	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.5	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.5	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.6	0.23265023086102374	HGAT	WXS	20.240570084909066	149089890	0.13576084927629276
BS_XNYH7VK6	Signature.6	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.6	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.6	0.2314763548065787	HGAT	WXS	27.082733512369707	149089890	0.18165372254530276
BS_BT83BCEE	Signature.6	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.6	0.07572951242686776	HGAT	WXS	8.633164416662925	149089890	0.05790576689447504
BS_4SCDT7M9	Signature.6	0.2008277993639271	HGAT	WXS	9.238078770740648	149089890	0.061963147003064045
BS_7PAAZQE6	Signature.6	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.6	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.6	0.12418179824863228	HGAT	WXS	5.836544517685717	149089890	0.039147822281482114
BS_JC7E55BV	Signature.6	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.6	0.13787738508446332	HGAT	WXS	5.652972788462996	149089890	0.03791654007165071
BS_DD2N8CEX	Signature.7	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.7	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.7	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.7	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.7	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.7	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.7	0.06722220946314768	HGAT	WXS	3.092221635304793	149089890	0.02074065273845727
BS_7PAAZQE6	Signature.7	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.7	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.7	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.7	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.7	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.8	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.8	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.8	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.8	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.8	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.8	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.8	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.8	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.8	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.8	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.8	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.8	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.9	0.06844830581923096	HGAT	WXS	5.955002606273093	149089890	0.03994236367250049
BS_XNYH7VK6	Signature.9	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.9	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.9	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.9	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.9	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.9	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.9	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.9	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.9	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.9	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.9	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.10	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.10	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.10	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.10	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.10	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.10	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.10	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.10	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.10	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.10	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.10	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.10	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.11	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.11	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.11	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.11	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.11	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.11	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.11	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.11	0.08883737658617825	HGAT	WXS	7.195827503480438	149089890	0.04826502657880047
BS_QF7M4SHH	Signature.11	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.11	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.11	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.11	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.12	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.12	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.12	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.12	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.12	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.12	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.12	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.12	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.12	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.12	0.13458578766875828	HGAT	WXS	6.325532020431639	149089890	0.04242763892596366
BS_JC7E55BV	Signature.12	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.12	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.13	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.13	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.13	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.13	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.13	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.13	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.13	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.13	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.13	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.13	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.13	0.25552363461312694	HGAT	WGS	21.71950894211579	3088286401	0.007032867461736361
BS_KHJMCFQR	Signature.13	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.14	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.14	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.14	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.14	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.14	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.14	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.14	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.14	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.14	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.14	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.14	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.14	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.15	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.15	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.15	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.15	0	HGAT	WXS	0	149089890	0
