Tumor_Sample_Barcode	signature	weights	short_histology	experimental_strategy	num_mutations	genome_size	mut_per_mb
BS_BT83BCEE	Signature.15	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.15	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.15	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.15	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.15	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.15	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.15	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.15	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.16	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.16	0.13615053360974508	HGAT	WXS	15.385010297901195	149089890	0.10319284760288705
BS_X0KN4VVW	Signature.16	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.16	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.16	0.117421990848536	HGAT	WXS	12.564153020793352	149089890	0.08427233409853178
BS_2DNGDW0A	Signature.16	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.16	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.16	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.16	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.16	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.16	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.16	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.17	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.17	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.17	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.17	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.17	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.17	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.17	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.17	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.17	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.17	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.17	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.17	0.0808263962665256	HGAT	WXS	3.3138822469275495	149089890	0.02222741090578006
BS_DD2N8CEX	Signature.18	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.18	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.18	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.18	0.1244900100170377	HGAT	WXS	14.565331171993412	149089890	0.09769496222710616
BS_BT83BCEE	Signature.18	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.18	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.18	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.18	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.18	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.18	0.24221797943850754	HGAT	WXS	11.384245033609854	149089890	0.07635826301575416
BS_JC7E55BV	Signature.18	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.18	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.19	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.19	0.09111283206045649	HGAT	WXS	10.295750022831584	149089890	0.06905733194136493
BS_X0KN4VVW	Signature.19	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.19	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.19	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.19	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.19	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.19	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.19	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.19	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.19	0.13363121430756741	HGAT	WGS	11.35865321614323	3088286401	0.0036779792225440137
BS_KHJMCFQR	Signature.19	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.20	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.20	0.06821587355386782	HGAT	WXS	7.708393711587064	149089890	0.051702994157330616
BS_X0KN4VVW	Signature.20	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.20	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.20	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.20	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.20	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.20	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.20	0.10005704261407573	HGAT	WGS	3.2018253636504235	3088286401	0.0010367643890196387
BS_91HP99HY	Signature.20	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.20	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.20	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.21	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.21	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.21	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.21	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.21	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.21	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.21	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.21	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.21	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.21	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.21	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.21	0.1116430677137219	HGAT	WXS	4.577365776262598	149089890	0.030702053481041523
BS_DD2N8CEX	Signature.22	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.22	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.22	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.22	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.22	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.22	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.22	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.22	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.22	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.22	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.22	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.22	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.23	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.23	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.23	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.23	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.23	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.23	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.23	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.23	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.23	0.16849684791898661	HGAT	WGS	5.391899133407572	3088286401	0.001745919397780482
BS_91HP99HY	Signature.23	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.23	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.23	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.24	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.24	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.24	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.24	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.24	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.24	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.24	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.24	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.24	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.24	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.24	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.24	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.25	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.25	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.25	0.5607714560641317	HGAT	WXS	2.8038572803206585	149089890	0.018806488356257145
BS_JWDK21ED	Signature.25	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.25	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.25	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.25	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.25	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.25	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.25	0.0760753221383542	HGAT	WXS	3.5755401405026475	149089890	0.023982445358988778
BS_JC7E55BV	Signature.25	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.25	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.26	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.26	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.26	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.26	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.26	0.061242669303306164	HGAT	WXS	6.552965615453759	149089890	0.04395311858807971
BS_2DNGDW0A	Signature.26	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.26	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.26	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.26	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.26	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.26	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.26	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.27	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.27	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.27	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.27	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.27	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.27	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.27	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.27	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.27	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.27	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.27	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.27	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.28	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.28	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.28	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.28	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.28	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.28	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.28	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.28	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.28	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.28	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.28	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.28	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.29	0.09060273402820608	HGAT	WXS	7.882437860453929	149089890	0.05287037142796154
BS_XNYH7VK6	Signature.29	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.29	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.29	0	HGAT	WXS	0	149089890	0
BS_BT83BCEE	Signature.29	0	HGAT	WXS	0	149089890	0
BS_2DNGDW0A	Signature.29	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.29	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.29	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.29	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.29	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.29	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.29	0	HGAT	WXS	0	149089890	0
BS_DD2N8CEX	Signature.30	0	HGAT	WXS	0	149089890	0
BS_XNYH7VK6	Signature.30	0	HGAT	WXS	0	149089890	0
BS_X0KN4VVW	Signature.30	0	HGAT	WXS	0	149089890	0
BS_JWDK21ED	Signature.30	0.1705056162334036	HGAT	WXS	19.94915709930822	149089890	0.13380623662213595
BS_BT83BCEE	Signature.30	0.11427363183251	HGAT	WXS	12.22727860607857	149089890	0.08201279514042549
BS_2DNGDW0A	Signature.30	0	HGAT	WXS	0	149089890	0
BS_4SCDT7M9	Signature.30	0	HGAT	WXS	0	149089890	0
BS_7PAAZQE6	Signature.30	0	HGAT	WXS	0	149089890	0
BS_QF7M4SHH	Signature.30	0	HGAT	WGS	0	3088286401	0
BS_91HP99HY	Signature.30	0	HGAT	WXS	0	149089890	0
BS_JC7E55BV	Signature.30	0	HGAT	WGS	0	3088286401	0
BS_KHJMCFQR	Signature.30	0	HGAT	WXS	0	149089890	0
